PMID,Title,Abstract,Journal,Publication Date,DOI,Databases
32109059,"Re-Evaluating the Mechanism of Action of alpha,beta-Unsaturated Carbonyl DUB Inhibitors b-AP15 and VLX1570: A Paradigmatic Example of Unspecific Protein Cross-linking with Michael Acceptor Motif-Containing Drugs.","Deubiquitinating enzymes (DUBs) are a growing target class across multiple disease states, with several inhibitors now reported. b-AP15 and VLX1570 are two structurally related USP14/UCH-37 inhibitors. Through a proteomic approach, we demonstrate that these compounds target a diverse range of proteins, resulting in the formation of higher molecular weight (MW) complexes. Activity-based proteome profiling identified CIAPIN1 as a submicromolar covalent target of VLX1570, and further analysis demonstrated that high MW complex formation leads to aggregation of CIAPIN1 in intact cells. Our results suggest that in addition to DUB inhibition, these compounds induce nonspecific protein aggregation, providing molecular explanation for general cellular toxicity.",Journal of medicinal chemistry,2020 Apr 9,10.1021/acs.jmedchem.0c00144,
31901637,"Dynamic Interaction of USP14 with the Chaperone HSC70 Mediates Crosstalk between the Proteasome, ER Signaling, and Autophagy.","USP14 is a deubiquitinating enzyme associated with the proteasome important for protein degradation. Here we show that upon proteasome inhibition or expression of the mutant W58A-USP14, association of USP14 with the 19S regulatory particle is disrupted. MS-based interactomics revealed an interaction of USP14 with the chaperone, HSC70, in neuroblastoma cells. Proteasome inhibition enhanced binding of USP14 to HSC70, and to XBP1u and IRE1alpha proteins, demonstrating a role in the unfolded protein response. Striatal neurons expressing mutant huntingtin exhibited reduced USP14 and HSC70 levels, whereas inhibition of HSC70 downregulated USP14. Furthermore, proteasome inhibition or use of the mutant W58A-USP14 facilitated the interaction of USP14 with the autophagy protein, GABARAP. Functionally, overexpression of W58A-USP14 increased GABARAP positive autophagosomes in striatal neurons, and this was abrogated using the HSC70 inhibitor, VER-155008. Modulation of the USP14-HSC70 axis may represent a potential therapeutic target in HD to beneficially influence multiple proteostasis pathways.",iScience,2020 Jan 24,S2589-0042(19)30535-8 [pii],
31740976,USP14 is a deubiquitinase for Ku70 and critical determinant of non-homologous end joining repair in autophagy and PTEN-deficient cells.,"Ionizing radiation (IR)-induced DNA double-strand breaks (DSBs) are predominantly repaired by non-homologous end joining (NHEJ). IR-induced DNA damage activates autophagy, an intracellular degradation process that delivers cytoplasmic components to the lysosome. We identified the deubiquitinase USP14 as a novel autophagy substrate and a regulator of IR-induced DNA damage response (DDR) signaling. Inhibition of autophagy increased levels and DSB recruitment of USP14. USP14 antagonized RNF168-dependent ubiquitin signaling and downstream 53BP1 chromatin recruitment. Here we show that autophagy-deficient cells are defective in NHEJ, as indicated by decreased IR-induced foci (IRIF) formation by pS2056-, pT2609-DNA-PKcs, pS1778-53BP1, RIF1 and a reporter assay activation. Moreover, chromatin recruitment of key NHEJ proteins, including, Ku70, Ku80, DNA-PKcs and XLF was diminished in autophagy-deficient cells. USP14 inhibition rescued the activity of NHEJ-DDR proteins in autophagy-deficient cells. Mass spectrometric analysis identified USP14 interaction with core NHEJ proteins, including Ku70, which was validated by co-immunoprecipitation. An in vitro assay revealed that USP14 targeted Ku70 for deubiquitination. AKT, which mediates Ser432-USP14 phosphorylation, was required for IRIF formation by USP14. Similar to USP14 block, AKT inhibition rescued the activity of NHEJ-DDR proteins in autophagy- and PTEN-deficient cells. These findings reveal a novel negative PTEN/Akt-dependent regulation of NHEJ by USP14.",Nucleic acids research,2020 Jan 24,5628926 [pii],
30946948,Repurposing of auranofin: Thioredoxin reductase remains a primary target of the drug.,"Auranofin is a gold (I)-containing compound used for the treatment of rheumatic arthritis. Auranofin has anticancer activity in animal models and is approved for clinical trials for lung and ovarian carcinomas. Both the cytosolic and mitochondrial forms of the selenoprotein thioredoxin reductase (TrxR) are well documented targets of auranofin. Auranofin was recently reported to also inhibit proteasome activity at the level of the proteasome-associated deubiquitinases (DUBs) UCHL5 and USP14. We here set out to re-examine the molecular mechanism underlying auranofin cytotoxicity towards cultured cancer cells. The effects of auranofin on the proteasome were examined in cells and in vitro, effects on DUB activity were assessed using different substrates. The cellular response to auranofin was compared to that of the 20S proteasome inhibitor bortezomib and the 19S DUB inhibitor b-AP15 using proteomics. Auranofin was found to inhibit mitochondrial activity and to an induce oxidative stress response at IC(50) doses. At 2-3-fold higher doses, auranofin inhibits proteasome processing in cells. At such supra-pharmacological concentrations USP14 activity was inhibited. Analysis of protein expression profiles in drug-exposed tumor cells showed that auranofin induces a response distinct from that of the 20S proteasome inhibitor bortezomib and the DUB inhibitor b-AP15, both of which induced similar responses. Our results support the notion that the primary mechanism of action of auranofin is TrxR inhibition and suggest that proteasome DUB inhibition is an off-target effect. Whether proteasome inhibition will contribute to the antineoplastic effect of auranofin in treated patients is unclear but remains a possibility.",Biochimie,2019 Jul,S0300-9084(19)30084-7 [pii],
30425250,Proteome-wide analysis of USP14 substrates revealed its role in hepatosteatosis via stabilization of FASN.,"Ubiquitin-specific protease 14 (USP14) is one of the major proteasome-associated deubiquitinating enzymes critical for proteome homeostasis. However, substrates of USP14 remain largely unknown, hindering the understanding of its functional roles. Here we conduct a comprehensive proteome, ubiquitinome and interactome analysis for USP14 substrate screening. Bioinformatics analysis reveals broad new potential roles of USP14, especially in lipid and carbohydrate metabolism. Among the potential substrates identified, we show that fatty acid synthase (FASN), a key enzyme involved in hepatic lipogenesis, is a bona fide substrate of USP14. USP14 directly interacts with and increases FASN stability. As a result, overexpression of USP14 promotes liver triglyceride accumulation in C57BL/6 mice, whereas genetic ablation or pharmacological inhibition of USP14 ameliorates hepatosteatosis, hyperglycemia and insulin resistance in obese mice. In conclusion, our findings reveal for the first time an indispensable role of USP14 in hepatosteatosis through FASN stabilization.",Nature communications,2018 Nov 13,10.1038/s41467-018-07185-y [pii],
30389639,Depletion of endogenous miRNA-378-3p increases peak cell density of CHO DP12 cells and is correlated with elevated levels of ubiquitin carboxyl-terminal hydrolase 14.,"miRNAs are potent molecular regulators of cellular behaviour. The manipulation of these small non-coding RNAs has been used to enhance industrially relevant phenotypes in Chinese Hamster Ovary (CHO) cells. We investigated the stable depletion of six miRNAs; miR-204-5p, 338-3p, 378-3p, 409-3p, 455-3p and 505-3p, robustly associated with cell growth rate from a previous profiling study. Inhibition of endogenous miR-378-3p function by miRNA-sponge-decoy improved peak cell density by 59%. Quantitative label free LC-MS/MS proteomic analysis of the fractionated cell cultures at day 4 and 8 of batch culture found 216 cytosolic and 114 membrane-associated proteins differentially expressed with stable miR-378-3p depletion. qRT-PCR of 8 genes; Clic4, Hnrnpa1, Prdx1, Actn4, Usp14, Srxn1, Canx and Gnb1, with unidirectional differential protein expression over the two time points of analysis was carried out. In-silico predictive algorithms; TargetScan and miRDB, were used to decipher possible direct targets of miR-378-3p. The Ubiquitin carboxyl-terminal hydrolase 14 (Usp14) protein was identified in the cytosolic fractions at both timepoints as differentially expressed with an increased abundance of 1.58-fold in the miR-378-3p depleted cells on day 8. Usp14 is a deubiquitinase (DUB) with previous reports of its up-regulation leading to increased proliferation of cancer cells. Overexpression of Usp14 in CHO cells had significant effects on cell growth supporting a role for Usp14 in the increased peak cell density seen with miR-378-3p depletion. This study highlights miR-378-3p as a novel engineering candidate for improving CHO cell growth. The use of subcellular fractionation also improved proteome coverage in the identification of novel miRNA targets.",Journal of biotechnology,2018 Dec 20,S0168-1656(18)30672-2 [pii],
29995557,USP14 regulates DNA damage repair by targeting RNF168-dependent ubiquitination.,"Recent reports have made important revelations, uncovering direct regulation of DNA damage response (DDR)-associated proteins and chromatin ubiquitination (Ubn) by macroautophagy/autophagy. Here, we report a previously unexplored connection between autophagy and DDR, via a deubiquitnase (DUB), USP14. Loss of autophagy in prostate cancer cells led to unrepaired DNA double-strand breaks (DSBs) as indicated by persistent ionizing radiation (IR)-induced foci (IRIF) formation for gammaH2AFX, and decreased protein levels and IRIF formation for RNF168, an E3-ubiquitin ligase essential for chromatin Ubn and recruitment of critical DDR effector proteins in response to DSBs, including TP53BP1. Consistently, RNF168-associated Ubn signaling and TP53BP1 IRIF formation were reduced in autophagy-deficient cells. An activity assay identified several DUBs, including USP14, which showed higher activity in autophagy-deficient cells. Importantly, inhibiting USP14 could overcome DDR defects in autophagy-deficient cells. USP14 IRIF formation and protein stability were increased in autophagy-deficient cells. Co-immunoprecipitation and colocalization of USP14 with MAP1LC3B and the UBA-domain of SQSTM1 identified USP14 as a substrate of autophagy and SQSTM1. Additionally, USP14 directly interacted with RNF168, which depended on the MIU1 domain of RNF168. These findings identify USP14 as a novel substrate of autophagy and regulation of RNF168-dependent Ubn and TP53BP1 recruitment by USP14 as a critical link between DDR and autophagy. Given the role of Ubn signaling in non-homologous end joining (NHEJ), the major pathway for repair of IR-induced DNA damage, these findings provide unique insights into the link between autophagy, DDR-associated Ubn signaling and NHEJ DNA repair. ABBREVIATIONS: ATG7: autophagy related 7; CQ: chloroquine; DDR: DNA damage response; DUB: deubiquitinase; HR: homologous recombination; IR: ionizing radiation; IRIF: ionizing radiation-induced foci; LAMP2: lysosomal associated membrane protein 2; MAP1LC3B/LC3B: microtubule associated protein 1 light chain 3 beta; MIU1: motif interacting with ubiquitin; NHEJ: non homologous end-joining; PCa: prostate cancer; TP53BP1/53BP1: tumor protein p53 binding protein 1; RNF168: ring finger protein 168; SQSTM1/p62 sequestosome 1; gammaH2AFX/gammaH2AX: H2A histone family member X: phosphorylated, UBA: ubiquitin-associated; Ub: ubiquitin; Ubn: ubiquitination; USP14: ubiquitin specific peptidase 14.",Autophagy,2018,1496877 [pii],
29777785,PSMD2 regulates breast cancer cell proliferation and cell cycle progression by modulating p21 and p27 proteasomal degradation.,"Alterations in the ubiquitin-proteasome system (UPS) and UPS-associated proteins have been implicated in the development of many human malignancies. In this study, we investigated the expression profiles of 797 UPS-related genes using HiSeq data from The Cancer Genome Atlas and identified that PSMD2 was markedly upregulated in breast cancer. High PSMD2 expression was significantly correlated with poor prognosis. Gene set enrichment analysis revealed that transcriptome signatures involving proliferation, cell cycle, and apoptosis were critically enriched in specimens with elevated PSMD2. Consistently, PSMD2 knockdown inhibited cell proliferation and arrested cell cycle at G0/G1 phase in vitro, as well as suppressed tumor growth in vivo. Rescue assays demonstrated that the cell cycle arrest caused by silencing PSMD2 partially resulted from increased p21 and/or p27. Mechanically, PSMD2 physically interacted with p21 and p27 and mediated their ubiquitin-proteasome degradation with the cooperation of USP14. Notably, intratumor injection of therapeutic PSMD2 small interfering RNA effectively delayed xenograft tumor growth accompanied by p21 and p27 upregulation. These data provide novel insight into the role of PSMD2 in breast cancer and suggest that PSMD2 may be a potential therapeutic target.",Cancer letters,2018 Aug 28,S0304-3835(18)30343-4 [pii],
29732405,Broad and diverse mechanisms used by deubiquitinase family members in regulating the type I interferon signaling pathway during antiviral responses.,"The innate immune response conferred by type I interferons is essential for host defense against viral infection but needs to be tightly controlled to avoid immunopathology. We performed a systematic functional screening by CRISPR/Cas9 (clustered regularly interspaced short palindromic repeats/CRISPR-associated protein 9) knockout and overexpression to investigate the roles of the deubiquitinating enzyme (DUB) family in regulating antiviral immunity. We demonstrated that the expression of a large fraction of DUBs underwent complex temporal alteration, suggesting a dynamic program of feedback regulation. Moreover, we identified previously unrecognized roles of a subset of DUBs, including USP5, USP14, USP22, USP48, USP52, COPS5, and BRCC3, in inhibiting antiviral immunity at various levels. We explored an unexpected mechanism where multiple DUBs, such as USP5 and USP22, form diverse signalosomes with E3 ligases or DUBs to alter the substrates' ubiquitination state instead of directly cleaving the ubiquitin chains on substrates via their protease activity. Altogether, our study has revealed a panoramic view of the broad and dynamic involvement of DUB family proteins in regulating antiviral responses.",Science advances,2018 May,aar2824 [pii],
27542828,USP14 regulates autophagy by suppressing K63 ubiquitination of Beclin 1.,"The ubiquitin-proteasome system (UPS) and autophagy are two major intracellular degradative mechanisms that mediate the turnover of complementary repertoires of intracellular proteomes. Simultaneously activating both UPS and autophagy might provide a powerful strategy for the clearance of misfolded proteins. However, it is not clear whether UPS and autophagy can be controlled by a common regulatory mechanism. K48 deubiquitination by USP14 is known to inhibit UPS. Here we show that USP14 regulates autophagy by negatively controlling K63 ubiquitination of Beclin 1. Furthermore, we show that activation of USP14 by Akt-mediated phosphorylation provides a mechanism for Akt to negatively regulate autophagy by promoting K63 deubiquitination. Our study suggests that Akt-regulated USP14 activity modulates both proteasomal degradation and autophagy through controlling K48 and K63 ubiquitination, respectively. Therefore, regulation of USP14 provides a mechanism for Akt to control both proteasomal and autophagic degradation. We propose that inhibition of USP14 may provide a strategy to promote both UPS and autophagy for developing novel therapeutics targeting neurodegenerative diseases.",Genes & development,2016 Aug 1,30/15/1718 [pii],
